CUs STEP ERROR MIN AVG MAX P10 P50 P90 P95 APDEX
1 003.001 0 0.0225219726562 0.0239395168092 0.0334680080414 0.0228190422058 0.0240128040314 0.0244340896606 0.02494597435 1.0
100 003.001 0 0.779392004013 1.36055391935 3.66949391365 0.985476970673 1.3707818985 1.66287779808 1.77815508842 0.834615384615
200 003.001 0 2.06420683861 2.53345683397 3.07340717316 2.32299590111 2.52867889404 2.73639082909 2.795388937 0.5
300 003.001 0 3.27851510048 3.78721041311 4.47815680504 3.54605507851 3.7860519886 4.02055120468 4.11995601654 0.5
400 003.001 0 3.17900681496 3.87608629341 5.58470797539 3.52470111847 3.83318018913 4.20891594887 4.46510910988 0.5
500 003.001 0 3.05388998985 4.025629039 7.17672896385 3.55927300453 3.88125395775 4.36609005928 5.83017802238 0.479423868313
1000 003.001 0 3.16199207306 4.87639216427 15.0083119869 3.50918197632 3.95170998573 9.56522202492 12.1277019978 0.434343434343
1500 003.001 0 0.982195854187 3.71519578474 23.71565485 2.63832402229 3.8430891037 4.23301815987 4.35367012024 0.503581020591
2000 003.001 0 0.657094955444 3.40630256584 25.1983830929 1.62407302856 3.66885113716 4.47489094734 4.60369586945 0.532411408816
