CUs STEP ERROR MIN AVG MAX P10 P50 P90 P95 APDEX
1 004.001 0 0.0992550849915 0.104212160464 0.143020868301 0.100379943848 0.101930141449 0.109755039215 0.121551036835 1.0
100 004.001 0 1.12498402596 1.60578971839 3.16754102707 1.34898114204 1.51276803017 2.02771902084 2.16168689728 0.736982643525
200 004.001 0 3.06821107864 3.64082100341 4.3122279644 3.36031413078 3.63825917244 3.92453598976 4.00945711136 0.5
300 004.001 0 4.79707193375 5.40625381633 6.47015404701 5.12896084785 5.39900708199 5.69164395332 5.79266905785 0.493852459016
400 004.001 0 4.62731003761 5.56361341772 7.91367387772 5.10044193268 5.49671792984 6.00371813774 6.59073114395 0.449655172414
500 004.001 0 4.73101019859 5.78550992626 10.1281290054 5.20186686516 5.54634809494 6.2090280056 8.46973991394 0.436268068331
1000 004.001 0 4.48216581345 7.40626445953 21.2738158703 5.00482988358 5.66468501091 15.3723728657 18.1873159409 0.341654778887
1500 004.001 0 1.40205407143 4.76012380797 31.2591450214 3.94124293327 4.60766816139 5.73681116104 5.88460302353 0.487065120428
2000 004.001 0 1.03114914894 4.20085781364 6.89445996284 2.16542887688 4.34199595451 5.98307800293 6.19476795197 0.456352636128
