CUs STEP ERROR MIN AVG MAX P10 P50 P90 P95 APDEX
1 002.001 0 0.0440340042114 0.0459287254899 0.0771880149841 0.044429063797 0.045117855072 0.0457739830017 0.0511350631714 1.0
100 002.001 0 0.910273075104 1.61906735172 3.75782799721 1.19625306129 1.5422000885 1.87237811089 2.88619494438 0.709331651955
200 002.001 0 2.13395404816 2.57531408848 3.06251502037 2.36594200134 2.57739305496 2.78916716576 2.837059021 0.5
300 002.001 0 3.13443493843 3.79757696074 4.35773897171 3.5582909584 3.79859995842 4.02428197861 4.09006285667 0.5
400 002.001 0 3.19193696976 3.89264229567 5.4428589344 3.52860713005 3.86816692352 4.20972895622 4.39821600914 0.5
500 002.001 0 3.2354528904 4.0279039277 6.96169519424 3.59336280823 3.91361618042 4.35191893578 5.3568880558 0.483333333333
1000 002.001 0 2.98458504677 4.94113420216 15.2178668976 3.43104481697 3.93050789833 9.55897784233 12.7107391357 0.430099857347
1500 002.001 0.4500450045 0.044086933136 3.7156600671 24.4876689911 1.92592000961 3.70235705376 4.28271198273 4.45077800751 0.506300630063
2000 002.001 0.260642919201 0.000137090682983 3.15256532227 26.5904290676 1.32509207726 2.77338504791 4.51253700256 4.65095901489 0.574717636838
