CUs STEP ERROR MIN AVG MAX P10 P50 P90 P95 APDEX
1 004.002 0 0.0156841278076 0.0165619938462 0.0249798297882 0.0158040523529 0.0163161754608 0.0173881053925 0.018180847168 1.0
100 004.002 0 1.06680512428 1.39788997075 2.09499788284 1.2729139328 1.38898491859 1.5247220993 1.62136983871 0.92955801105
200 004.002 0 3.10770702362 3.58692133803 4.29065418243 3.32805514336 3.5644299984 3.87194299698 3.96115994453 0.5
300 004.002 0 4.71882891655 5.41914319467 6.20001602173 5.13259387016 5.41694617271 5.69860291481 5.79399180412 0.494490358127
400 004.002 0 4.67974591255 5.56435120815 7.61860013008 5.10530686378 5.50921583176 5.99083304405 6.29849290848 0.450899031812
500 004.002 0 4.70033097267 5.78887536489 10.5339980125 5.21831512451 5.59205102921 6.11577701569 8.2259581089 0.432642487047
1000 004.002 0 4.53353905678 7.43212377294 21.7179188728 4.98088908195 5.6562640667 15.709731102 19.3145449162 0.348074179743
1500 004.002 0 1.77821302414 4.15073446009 33.1294209957 3.191188097 4.0478758812 5.28034591675 5.55080199242 0.495067264574
2000 004.002 0 0.954921960831 3.5031183106 6.68340110779 1.88666796684 3.51001286507 5.24237585068 5.65712594986 0.491978609626
