CUs RPS ERROR MIN AVG MAX P10 P50 P90 P95 APDEX
1 4.94166666667 0 0.00287103652954 0.0384392979575 0.143020868301 0.0158040523529 0.0355319976807 0.0620040893555 0.101677179337 1.0
100 68.1583333333 0 0.00285291671753 1.29570619919 3.82930612564 0.69467997551 1.34720396996 1.6720328331 1.81777405739 0.875168113461
200 67.7416666667 0 0.678550958633 2.76936808183 4.3122279644 1.48154592514 2.7991130352 3.70675706863 3.82274198532 0.551174806249
300 66.9583333333 0 1.1268761158 4.12223739223 6.47015404701 2.22305607796 4.16564512253 5.5096180439 5.63268303871 0.523522090853
400 67.3666666667 0 1.07713389397 4.2307618962 7.91367387772 2.24159812927 4.27033495903 5.67688512802 5.86904191971 0.50637060861
500 67.675 0 1.1420071125 4.40284992016 10.5339980125 2.30168795586 4.36687493324 5.78970193863 6.12757897377 0.48990272134
1000 68.9 0 1.04092597961 5.35189118536 21.7179188728 2.25163292885 4.55332803726 9.72377991676 14.2374370098 0.436139332366
1500 75.9416666667 7.28629430484 0.000108003616333 4.06831019173 33.1294209957 0.516561031342 3.66598820686 6.321144104 14.0913460255 0.578349610447
2000 78.3666666667 10.367928541 9.70363616943e-05 3.80903200085 30.1468560696 0.057904958725 2.80757308006 6.45827102661 15.7867999077 0.610750744364
