CUs STEP ERROR MIN AVG MAX P10 P50 P90 P95 APDEX
1 005.001 0 0.0336909294128 0.0361280662042 0.0472400188446 0.0342030525208 0.035826921463 0.0374670028687 0.0441780090332 1.0
100 005.001 0 0.92332816124 1.12748117406 1.38880610466 1.04732394218 1.12406897545 1.21024799347 1.22979092598 1.0
200 005.001 0 2.42271399498 2.8454380827 3.43048405647 2.63646483421 2.82818198204 3.08358311653 3.16032099724 0.5
300 005.001 0 3.68157505989 4.30876117293 5.00679111481 4.02143311501 4.30918598175 4.58294296265 4.65899205208 0.5
400 005.001 0 3.6346039772 4.40415118403 6.29445791245 4.01617908478 4.35067200661 4.74045705795 5.01840996742 0.49727520436
500 005.001 0 3.6803290844 4.51762480586 7.9683098793 4.07703399658 4.41293287277 4.84184908867 5.44461798668 0.477806788512
1000 005.001 0 3.48803901672 5.57914137501 17.2493009567 3.88600111008 4.43298006058 10.9484379292 14.1103489399 0.423076923077
1500 005.001 0 1.3006029129 3.25114742317 5.17099905014 2.65167593956 3.23438286781 3.76022696495 4.07998490334 0.501342281879
2000 005.001 0 1.24907493591 2.95197342087 5.17292189598 2.0101890564 3.03630185127 3.49574112892 4.28185296059 0.511608623549
