CUs STEP ERROR MIN AVG MAX P10 P50 P90 P95 APDEX
1 001.001 0 0.054573059082 0.0563388135698 0.06560587883 0.0551331043243 0.0560669898987 0.0570058822632 0.0589559078217 1.0
100 001.001 0 0.91809797287 1.51188892495 3.82930612564 1.19989395142 1.39989590645 1.70343518257 2.87374901772 0.826675257732
200 001.001 0 2.09283494949 2.58754141838 3.14201998711 2.37030792236 2.58643388748 2.81805086136 2.86118507385 0.5
300 001.001 0 3.18940186501 3.82380376107 4.38410496712 3.59186410904 3.81398892403 4.06094098091 4.12709116936 0.5
400 001.001 0 3.09871912003 3.91316707983 5.53781914711 3.54525899887 3.90280914307 4.24914312363 4.41561722755 0.5
500 001.001 0 3.14324116707 4.03030328239 7.28444194794 3.59529089928 3.93194890022 4.3037788868 5.36306595802 0.483960948396
1000 001.001 0 3.10372495651 4.66212499097 15.6014771461 3.43579912186 3.87632989883 7.92761492729 11.7128927708 0.445962732919
1500 001.001 46.8705547653 0.000108003616333 7.18900326356 25.598020792 0.000377178192139 1.85117506981 20.5048568249 22.1886708736 0.52027027027
2000 001.001 54.5148625911 9.70363616943e-05 6.79822239445 30.1468560696 0.000365972518921 0.0216209888458 22.9098949432 25.4758591652 0.604879416713
