CUs SPPS ERROR MIN AVG MAX P10 P50 P90 P95 APDEX E G F P U
1 4.04166666667 0 0.0156841278076 0.046998976678 0.143020868301 0.0162780284882 0.0358870029449 0.101009130478 0.102142095566 1.0 1.0 0 0 0 0
100 55.2166666667 0 0.779392004013 1.599385267 5.67175316811 1.12597608566 1.42725110054 2.62548685074 3.00807595253 0.87513758102 0 0.87513758102 0 0 0
200 55.65 0 2.06420683861 3.36424584887 6.08799624443 2.52138209343 3.33555293083 4.77970480918 5.24719691276 0.549981465464 0 0 0 0.549981465464 0
300 54.725 0 3.13443493843 5.0324167506 8.64415216445 3.76116013527 5.0971288681 7.35963726043 7.76564288139 0.522457150006 0 0 0 0.522457150006 0
400 55.1166666667 0 3.17900681496 5.15292332318 10.0220468044 3.80170202255 5.11512613297 7.29863286018 7.92131614685 0.506163615988 0 0 0 0.506163615988 0
500 55.8416666667 0 3.05388998985 5.30388396481 11.9048681259 3.86182808876 5.24420309067 7.64037132264 8.10164690018 0.489742633346 0 0 0 0 0.489742633346
1000 56.5416666667 0 2.98458504677 6.42588824284 22.8313403129 3.83099508286 5.24991703033 12.0215079784 15.616232872 0.437323163981 0 0 0 0 0.437323163981
1500 53.3083333333 9.40376717179 0.982195854187 4.79761764916 33.1294209957 2.84067392349 4.00656294823 8.33869099618 18.1512036323 0.585136241375 0 0 0 0.585136241375 0
2000 52.0916666667 13.4929421533 0.638133049011 4.47694914126 32.2620050907 1.81820297241 3.66549611092 9.37853217125 20.7707090378 0.61861437613 0 0 0 0.61861437613 0
