CUs STEP ERROR MIN AVG MAX P10 P50 P90 P95 APDEX
1 006.002 0 0.0158610343933 0.0163529890555 0.0175828933716 0.016019821167 0.0162959098816 0.0168130397797 0.0173869132996 1.0
100 006.002 0 1.20235705376 1.50759128945 2.39777302742 1.31612420082 1.4507920742 1.77773284912 1.86648893356 0.802142857143
200 006.002 0 3.07015800476 3.6029860957 4.24840593338 3.3466629982 3.59059596062 3.87798714638 3.97894120216 0.5
300 006.002 0 4.71034693718 5.42227287246 6.30252790451 5.1159260273 5.41100287437 5.73211884499 5.82741689682 0.495159059474
400 006.002 0 4.54129719734 5.54935878634 7.74768900871 5.08116912842 5.52455306053 5.94926714897 6.15614295006 0.460053262317
500 006.002 0 4.71210980415 5.74604599625 10.3016631603 5.19076800346 5.55001616478 6.09252810478 7.89314985275 0.440587449933
1000 006.002 0 4.56702303886 7.01445952397 21.5601308346 4.97315406799 5.59976601601 12.9626500607 18.1720371246 0.354721549637
1500 006.002 0 2.94410610199 3.99277523497 6.03188300133 3.47041893005 3.978951931 4.36353993416 4.55050611496 0.495652173913
2000 006.002 0 1.73481202126 3.35470325807 4.22299814224 2.13670802116 3.61556982994 4.11540794373 4.20128393173 0.5
