CUs STEP ERROR MIN AVG MAX P10 P50 P90 P95 APDEX
1 001.002 0 0.0337641239166 0.0386753038124 0.0426552295685 0.0351750850677 0.0388028621674 0.0420880317688 0.042601108551 1.0
100 001.002 0 0.0350890159607 0.848991401714 1.3060669899 0.681096076965 0.904190063477 1.05888009071 1.11034107208 1.0
200 001.002 0 1.27715802193 1.63321986601 2.03125405312 1.47132515907 1.63419508934 1.78630399704 1.82977986336 0.571922544952
300 001.002 0 1.88348793983 2.42203070299 2.99684810638 2.22787714005 2.41575193405 2.62342596054 2.677257061 0.5
400 001.002 0 1.90885210037 2.47740233041 3.63672304153 2.23568892479 2.45650005341 2.73692202568 2.80497193336 0.5
500 001.002 0 1.90673494339 2.53058759705 4.75324010849 2.25267791748 2.47512984276 2.76516890526 2.91700792313 0.5
1000 001.002 0 1.88867688179 2.84739232217 9.27703905106 2.15601301193 2.45433688164 3.32122707367 6.59189796448 0.46834625323
1500 001.002 0 0.572052001953 3.31387799815 16.632133007 0.795903921127 1.12299609184 11.4637010098 13.722561121 0.748730964467
2000 001.002 0 0.319282054901 3.30903095855 18.5744409561 0.727725028992 0.90271115303 12.6478710175 15.8049409389 0.779886148008
