CUs STEP ERROR MIN AVG MAX P10 P50 P90 P95 APDEX
1 007.001 0 0.0294549465179 0.0317397207584 0.0448188781738 0.0300738811493 0.0312070846558 0.0322029590607 0.0401709079742 1.0
100 007.001 0 0.938793897629 1.38047557967 1.95921015739 1.14395809174 1.36536192894 1.6548640728 1.7546069622 0.87
200 007.001 0 2.47565698624 2.87394220441 3.32085490227 2.66259908676 2.85705900192 3.10988402367 3.17925882339 0.5
300 007.001 0 3.74293994904 4.27491406765 5.03932094574 4.03489995003 4.26559305191 4.54576897621 4.62225103378 0.5
400 007.001 0 3.52972698212 4.3768180553 6.19738411903 4.01754903793 4.33918690681 4.71863484383 4.87602901459 0.497997329773
500 007.001 0 3.66547298431 4.51798459429 8.263712883 4.08184885979 4.38519716263 4.80923914909 5.86059212685 0.478021978022
1000 007.001 0 3.4770720005 5.32610079228 17.3083131313 3.89491605759 4.4170460701 8.97655510902 13.3274209499 0.439745075319
1500 007.001 0 2.71767687798 3.29559696638 4.18735599518 2.8480591774 3.35773301125 3.75750207901 3.88315606117 0.5
2000 007.001 0 1.44542002678 2.34537882805 3.35540604591 1.87901520729 2.41931700706 3.35540604591 3.35540604591 0.55
