CUs STEP ERROR MIN AVG MAX P10 P50 P90 P95 APDEX
1 001.003 0 0.00287103652954 0.00299814895347 0.00326108932495 0.0028989315033 0.00297093391418 0.00315117835999 0.00319695472717 1.0
100 001.003 0 0.00285291671753 0.52497135794 0.837682962418 0.404988765717 0.55682015419 0.663691997528 0.69887804985 1.0
200 001.003 0 0.678550958633 0.996738699111 1.3091199398 0.874974966049 0.993063926697 1.11510705948 1.15584516525 1.0
300 001.003 0 1.1268761158 1.48655825392 1.93621706963 1.33452296257 1.48307299614 1.63875317574 1.69305491447 0.773405698779
400 001.003 0 1.07713389397 1.51279177724 2.35269880295 1.3147380352 1.50251913071 1.71623492241 1.77169084549 0.744535519126
500 001.003 0 1.1420071125 1.54230515072 2.88477993011 1.32985806465 1.51309895515 1.73446512222 1.84582591057 0.733002832861
1000 001.003 0 1.04092597961 1.67512306172 5.98878192902 1.29945397377 1.50332808495 1.84496593475 2.65143489838 0.74682651622
1500 001.003 0 0.251644849777 1.23238482761 9.99630308151 0.430907011032 0.762769937515 1.60284590721 5.83836197853 0.920337394564
2000 001.003 0 0.18470788002 1.0620716772 12.1120281219 0.298618078232 0.565589904785 1.09540700912 5.02630710602 0.934163701068
