CUs STEP ERROR MIN AVG MAX P10 P50 P90 P95 APDEX
1 006.001 0 0.0456268787384 0.0498327723256 0.0733349323273 0.046413898468 0.0478689670563 0.0568070411682 0.0620040893555 1.0
100 006.001 0 1.19314193726 1.4027946353 1.98454594612 1.29105114937 1.38168621063 1.53507089615 1.63383603096 0.929285714286
200 006.001 0 2.99478411674 3.48512152557 4.08120012283 3.23778796196 3.47379493713 3.73872804642 3.810131073 0.5
300 006.001 0 4.55100107193 5.25556808669 6.24917602539 4.96669888496 5.25187706947 5.55301189423 5.6135571003 0.499314128944
400 006.001 0 4.36348485947 5.38421340001 7.59503006935 4.92966580391 5.31615304947 5.76836395264 6.22329902649 0.470548862115
500 006.001 0 4.67049098015 5.54699433117 9.76430392265 5.00833106041 5.38711500168 5.88037705421 7.23967909813 0.4604743083
1000 006.001 0 4.34958314896 7.00273770793 21.4156560898 4.81348013878 5.4646191597 14.2577300072 17.9118349552 0.377679697352
1500 006.001 0 1.45286893845 3.8640934694 5.77982115746 3.27922797203 3.88638210297 4.26740217209 4.44045901299 0.501639344262
2000 006.001 0 1.92720508575 3.55338330443 5.53154802322 2.61317801476 3.6835308075 4.14701008797 4.27282500267 0.5
