CUs STEP ERROR MIN AVG MAX P10 P50 P90 P95 APDEX
1 002.001 0 0.0177440643311 0.0207875569661 0.0558280944824 0.0192139148712 0.0199499130249 0.0207419395447 0.021320104599 1.0
100 002.001 0 0.86136007309 1.29894858536 2.09297013283 1.101760149 1.30512499809 1.43995904922 1.49809598923 0.976439790576
200 002.001 0 2.06397891045 2.54700001984 3.04473400116 2.32666110992 2.55202007294 2.75944900513 2.81708097458 0.5
300 002.001 0 3.12415099144 3.64812079948 4.41128706932 3.38440990448 3.64238190651 3.90454602242 3.98771119118 0.5
400 002.001 0 3.15392708778 3.8000193361 5.55813312531 3.44069504738 3.7426571846 4.13656497002 4.48379898071 0.5
500 002.001 0 3.167304039 4.0680369227 7.20478796959 3.62737989426 3.94888806343 4.36085915565 5.59881782532 0.482193732194
1000 002.001 0 2.99611783028 4.75411336336 15.1094348431 3.39987897873 3.78976106644 9.15773892403 12.1054170132 0.432451253482
2000 002.001 0 0.643518924713 3.218616395 27.332531929 1.31167697906 2.86950182915 4.3938999176 4.61383891106 0.563471502591
