CUs STEP ERROR MIN AVG MAX P10 P50 P90 P95 APDEX
1 001.002 0 0.0352618694305 0.0402354125319 0.0718190670013 0.0362219810486 0.0396959781647 0.0427050590515 0.0427989959717 1.0
100 001.002 0 0.0492730140686 0.808506563003 1.09055805206 0.68194103241 0.834333896637 0.945205926895 0.970587015152 1.0
200 001.002 0 1.3038289547 1.64119490698 2.04956293106 1.48769903183 1.64581394196 1.7895860672 1.82967114449 0.561898211829
300 001.002 0 1.75450611115 2.34626080373 2.93934106827 2.14983510971 2.34178495407 2.54730987549 2.60968899727 0.5
400 001.002 0 1.89465498924 2.43131428398 3.837900877 2.19567108154 2.40037417412 2.69305706024 2.79155302048 0.5
500 001.002 0 2.01030802727 2.58426510759 4.60645413399 2.28664112091 2.52048397064 2.79806303978 3.32517790794 0.5
1000 001.002 0 1.92475199699 2.78972843035 9.46274113655 2.1507871151 2.39385294914 2.93470811844 7.00028085709 0.468592964824
2000 001.002 0 0.326550960541 3.3707481931 20.7887158394 0.660765171051 0.909068107605 12.6464729309 15.8226940632 0.779214559387
