CUs SPPS ERROR MIN AVG MAX P10 P50 P90 P95 APDEX E G F P U
1 4.28333333333 0 0.014680147171 0.0397577230105 0.598118066788 0.0159349441528 0.0244359970093 0.100337028503 0.104017972946 1.0 1.0 0 0 0 0
100 56.4 0 0.86136007309 1.56111909618 3.60845208168 1.14670109749 1.43336701393 2.21543598175 2.69467401504 0.882731021101 0 0.882731021101 0 0 0
200 55.85 0 2.05987811089 3.34414989573 5.92362189293 2.5102930069 3.31058001518 4.70899295808 5.20653271675 0.548786497474 0 0 0 0.548786497474 0
300 55.0166666667 0 2.9825630188 4.84957750535 8.47623395919 3.61397695541 4.84424304962 6.97163319588 7.44548964501 0.532657377457 0 0 0 0.532657377457 0
400 55.375 0 3.15392708778 5.05308462345 10.1715769768 3.71137404442 5.02299404144 7.22703289986 7.64448881149 0.513372956909 0 0 0 0.513372956909 0
500 55.2666666667 0 3.167304039 5.33921131635 12.3563330173 3.89290499687 5.26156783104 7.72270703316 8.19002008438 0.482010315763 0 0 0 0 0.482010315763
1000 57.1916666667 0 2.99611783028 6.23821279281 21.4806990624 3.75391793251 5.11907696724 11.8916871548 15.4976930618 0.454457246816 0 0 0 0 0.454457246816
2000 51.675 14.5867768595 0.615993976593 4.44520978823 33.0022380352 1.87935805321 3.6928961277 9.26975798607 21.0544419288 0.624141038639 0 0 0 0.624141038639 0
