CUs STEP ERROR MIN AVG MAX P10 P50 P90 P95 APDEX
1 006.001 0 0.0213449001312 0.0284768029263 0.0658340454102 0.022253036499 0.0237889289856 0.0426619052887 0.0508909225464 1.0
100 006.001 0 1.19694709778 1.4758421468 1.91858792305 1.31263709068 1.45530891418 1.67260694504 1.75057721138 0.820793433653
200 006.001 0 2.93765878677 3.43216884247 4.13205504417 3.18419694901 3.41024112701 3.71564102173 3.78220701218 0.5
300 006.001 0 4.33121085167 5.02971724515 5.92017292976 4.69128608704 5.02789306641 5.36661982536 5.46512007713 0.5
400 006.001 0 4.39511704445 5.24377124342 7.33711409569 4.80250692368 5.15964412689 5.65006804466 6.2206428051 0.472972972973
500 006.001 0 4.42680096626 5.55206765933 9.93333292007 5.02307295799 5.4118039608 5.89028906822 6.70483708382 0.461690885073
1000 006.001 0 4.34868597984 6.74154881014 20.3570139408 4.76621508598 5.20787096024 14.2173631191 17.4381771088 0.409825870647
2000 006.001 0 1.91220116615 3.41675395939 5.66967487335 2.19190716743 3.64217686653 4.14211010933 4.2702319622 0.5
