CUs STEP ERROR MIN AVG MAX P10 P50 P90 P95 APDEX
1 007.001 0 0.0246479511261 0.0292940516221 0.0531508922577 0.0260229110718 0.0279719829559 0.0303061008453 0.0453691482544 1.0
100 007.001 0 0.996115922928 1.37664551366 1.78097701073 1.1482489109 1.39900302887 1.57931804657 1.61526989937 0.867605633803
200 007.001 0 2.38698005676 2.86574851204 3.41852498055 2.63520884514 2.85343980789 3.10187101364 3.17075896263 0.5
300 007.001 0 3.46390390396 4.14175287376 4.78817296028 3.85213708878 4.12896299362 4.43708491325 4.52032995224 0.5
400 007.001 0 3.57528591156 4.29864153722 6.24445295334 3.9522819519 4.23036599159 4.63147807121 4.81800913811 0.496671105193
500 007.001 0 3.43987107277 4.5255497632 8.03627800941 4.08482599258 4.42669391632 4.8311882019 5.23798298836 0.480821917808
1000 007.001 0 3.47074699402 5.21128570509 17.4795491695 3.90976285934 4.28585910797 8.75867605209 13.0524630547 0.443287037037
2000 007.001 0 2.20975995064 2.89169025421 4.12694883347 2.20975995064 2.57826805115 4.12694883347 4.12694883347 0.5
