CUs STEP ERROR MIN AVG MAX P10 P50 P90 P95 APDEX
1 004.001 0 0.0992670059204 0.117959896723 0.598118066788 0.100260019302 0.102191925049 0.13546705246 0.149131059647 1.0
100 004.001 0 1.02368688583 1.70095040416 3.60845208168 1.41006493568 1.63367509842 2.03538799286 2.10253095627 0.655852417303
200 004.001 0 3.0574028492 3.62203735325 4.31027889252 3.3566660881 3.61693000793 3.91274595261 4.0019390583 0.5
300 004.001 0 4.46515417099 5.20816525648 6.13564705849 4.86492109299 5.20793414116 5.54471516609 5.66112685204 0.499326145553
400 004.001 0 4.56792116165 5.4504165006 7.86051702499 5.01906609535 5.38031411171 5.89245796204 6.4573340416 0.462328767123
500 004.001 0 4.71486902237 5.77934032013 9.84385585785 5.19338297844 5.58507418633 6.20527815819 8.08184790611 0.421265141319
1000 004.001 0 4.57865095139 7.26679190372 20.9532999992 5.00387787819 5.5062379837 15.3532400131 18.0008709431 0.380141843972
2000 004.001 0 0.966851949692 4.2204811655 18.3690850735 2.33750605583 4.20982694626 5.86397504807 6.05528998375 0.472914875322
