CUs STEP ERROR MIN AVG MAX P10 P50 P90 P95 APDEX
1 003.001 0 0.0209510326385 0.0236007832644 0.0420598983765 0.0217518806458 0.023078918457 0.0244159698486 0.029424905777 1.0
100 003.001 0 0.870047092438 1.24966676814 2.12021398544 0.990448951721 1.27441501617 1.42740297318 1.48240804672 0.981266149871
200 003.001 0 2.05987811089 2.53237820345 2.98563599586 2.31115603447 2.53363895416 2.73917198181 2.79978609085 0.5
300 003.001 0 2.9825630188 3.65867586888 4.3071141243 3.38792490959 3.65770292282 3.92400813103 4.01350498199 0.5
400 003.001 0 3.19753289223 3.809938513 5.95517206192 3.46133589745 3.75804591179 4.14388108253 4.35933494568 0.5
500 003.001 0 3.1916179657 4.07011975795 7.23874902725 3.5923678875 3.93046402931 4.37793898582 5.79670715332 0.47619047619
1000 003.001 0 3.02402305603 4.6558154677 15.5315949917 3.43347978592 3.81508207321 8.33421301842 11.891782999 0.437323943662
2000 003.001 0 0.615993976593 3.31071052543 24.2860720158 1.70256400108 3.68804311752 4.31245803833 4.43799495697 0.527993109388
