CUs STEP ERROR MIN AVG MAX P10 P50 P90 P95 APDEX
1 001.003 0 0.00286912918091 0.00304030961004 0.00450778007507 0.0029079914093 0.00299119949341 0.00318694114685 0.00320601463318 1.0
100 001.003 0 0.0143048763275 0.492664187784 0.710453033447 0.396530866623 0.505187034607 0.587415933609 0.610157966614 1.0
200 001.003 0 0.718037128448 0.997815538506 1.2702229023 0.877737998962 0.997640132904 1.12186908722 1.14821505547 1.0
300 001.003 0 1.11218714714 1.42929318364 1.81058502197 1.27853894234 1.42731189728 1.58358001709 1.63973903656 0.862666666667
400 001.003 0 1.13476896286 1.4763065287 2.2734401226 1.30590605736 1.46335697174 1.65911197662 1.72218799591 0.803256445047
500 001.003 0 1.18877696991 1.55977039351 2.9814620018 1.34867691994 1.54038619995 1.74806904793 1.84932494164 0.70558739255
1000 001.003 0 1.10362887383 1.69830654148 5.68491482735 1.29306697845 1.4841029644 1.80778503418 4.24387097359 0.763193504736
2000 001.003 0 0.191051006317 1.13764597506 13.4394891262 0.298176765442 0.585988998413 1.16101789474 5.98609900475 0.930026572188
