CUs STEP ERROR MIN AVG MAX P10 P50 P90 P95 APDEX
1 001.001 0 0.0232169628143 0.0263720339742 0.0502338409424 0.0242269039154 0.0254979133606 0.0270099639893 0.031690120697 1.0
100 001.001 0 0.922022104263 1.28467284348 2.04967188835 1.06575512886 1.29356789589 1.44696092606 1.48791003227 0.981132075472
200 001.001 0 2.12489008904 2.54512160597 3.03445196152 2.33412098885 2.53907299042 2.76976895332 2.82671904564 0.5
300 001.001 0 3.03958702087 3.65104792954 4.26275086403 3.39621400833 3.6420519352 3.9334590435 4.0076110363 0.5
400 001.001 0 3.15757584572 3.80154973961 5.77090096474 3.46346712112 3.74098992348 4.13127303123 4.47086501122 0.5
500 001.001 0 3.17836117744 4.03472461048 7.26478290558 3.59047484398 3.90807414055 4.34662008286 5.44295310974 0.482905982906
1000 001.001 0 3.07254505157 4.56098169234 14.6909208298 3.39823889732 3.73131084442 8.24718904495 12.1091599464 0.444852941176
2000 001.001 56.6613162119 0.000104904174805 6.4633210486 30.5573680401 0.000362157821655 0.0144670009613 23.1066310406 25.6741449833 0.626805778491
