CUs RPS ERROR MIN AVG MAX P10 P50 P90 P95 APDEX
1 5.25 0 0.00286912918091 0.0324372533768 0.598118066788 0.0150408744812 0.0241959095001 0.0521669387817 0.102063894272 1.0
100 68.7166666667 0 0.0143048763275 1.28130657809 3.60845208168 0.692080974579 1.33996009827 1.72270584106 1.89874982834 0.882731021101
200 67.9416666667 0 0.718037128448 2.75470094302 4.31027889252 1.50185918808 2.78563594818 3.69589710236 3.8137049675 0.549920274745
300 67.45 0 1.11218714714 3.96854193422 6.1449110508 2.13414406776 4.02199316025 5.35086297989 5.48052406311 0.533358042995
400 67.7333333333 0 1.13476896286 4.14602964143 7.97594499588 2.20037388802 4.1834590435 5.55093622208 5.76995110512 0.513471948819
500 66.9083333333 0 1.18877696991 4.43797570511 10.2950649261 2.34995484352 4.40582489967 5.86574316025 6.19801187515 0.482438659858
1000 69.9833333333 0 1.10362887383 5.18612537131 21.2002131939 2.22397899628 4.34496021271 9.37339282036 13.9783480167 0.453203143606
2000 78.6083333333 11.2265451076 0.000104904174805 3.80224946386 33.0022380352 0.0155019760132 2.75405502319 6.39284181595 15.7959368229 0.615074737623
