CUs STEP ERROR MIN AVG MAX P10 P50 P90 P95 APDEX
1 005.001 0 0.0313210487366 0.0353736877441 0.0608057975769 0.0327110290527 0.0343601703644 0.0371379852295 0.0429339408875 1.0
100 005.001 0 0.970494031906 1.22299444252 2.33996796608 1.07685208321 1.18931794167 1.44288396835 1.52914690971 0.968462549277
200 005.001 0 2.38129210472 2.82755926686 3.54387998581 2.61234998703 2.80949091911 3.06354594231 3.12019395828 0.5
300 005.001 0 3.56396985054 4.15866901261 4.83050012589 3.86416506767 4.16210794449 4.44642710686 4.53787994385 0.5
400 005.001 0 3.50180077553 4.34001691266 6.44179415703 3.96296310425 4.2767598629 4.71978616714 4.99284410477 0.495896032832
500 005.001 0 3.68811893463 4.59361112056 8.59237098694 4.10396099091 4.43949699402 4.91451191902 6.13724803925 0.472293814433
1000 005.001 0 3.53826212883 5.53125145593 16.7172999382 3.90300703049 4.30890798569 11.4998679161 14.0630350113 0.422159887798
2000 005.001 0 0.697129964828 3.01112811893 5.16171598434 1.87498402596 3.14853906631 3.62444186211 4.4607591629 0.504587155963
