CUs STEP ERROR MIN AVG MAX P10 P50 P90 P95 APDEX
1 004.002 0 0.0151009559631 0.0164406592386 0.0226650238037 0.0154840946198 0.0162389278412 0.0170269012451 0.0174350738525 1.0
100 004.002 0 0.989629983902 1.54882601775 2.65079689026 1.32435894012 1.45686101913 1.94174218178 2.01275086403 0.801282051282
200 004.002 0 3.11532092094 3.57346852923 4.10389280319 3.3128759861 3.55440807343 3.8794169426 3.93027496338 0.5
300 004.002 0 4.5561299324 5.25816761588 6.11191606522 4.92571616173 5.25496101379 5.59218406677 5.70774412155 0.498639455782
400 004.002 0 4.62856006622 5.49372798351 7.94039988518 5.03165102005 5.39845204353 5.9312942028 6.63745999336 0.457084468665
500 004.002 0 4.56712913513 5.83770040708 10.2950649261 5.21436405182 5.6415309906 6.30346894264 8.04174804688 0.410643889619
1000 004.002 0 4.63326096535 7.0879164202 20.1155290604 4.98223304749 5.47777199745 15.053401947 17.8827040195 0.383687943262
2000 004.002 0 1.07121992111 3.60409128624 33.0022380352 1.98935413361 3.64339494705 5.47091913223 5.72204399109 0.495598591549
