CUs STEP ERROR MIN AVG MAX P10 P50 P90 P95 APDEX
1 006.002 0 0.014680147171 0.0157139259472 0.0181040763855 0.0150408744812 0.0157368183136 0.016205072403 0.0174310207367 1.0
100 006.002 0 1.26687717438 1.61004695031 2.15294289589 1.37805008888 1.58471488953 1.87629508972 1.92517995834 0.658333333333
200 006.002 0 3.04464912415 3.59451896162 4.26327085495 3.34713602066 3.57491493225 3.87889409065 3.97745704651 0.5
300 006.002 0 4.33147501945 5.22499456025 6.1449110508 4.87663507462 5.21644997597 5.55544614792 5.65099287033 0.499311294766
400 006.002 0 4.59383511543 5.46506242644 7.97594499588 5.01564216614 5.38932704926 5.85907387733 6.47055602074 0.460771276596
500 006.002 0 4.58516097069 5.80379269816 10.217402935 5.20992612839 5.60685300827 6.13519001007 8.06997203827 0.430388219545
1000 006.002 0 4.4618499279 6.82361994763 21.2002131939 4.94033813477 5.42047691345 13.3288960457 18.2418999672 0.402173913043
2000 006.002 0 1.82665205002 3.25578847386 6.45035910606 2.00620508194 3.47405815125 4.25249695778 4.33288383484 0.488095238095
